trace_id,model,interface,task_id,family,difficulty,fault_type,fault_prefix_index,mfp_category,mfp_index,delta_mfp_index,fault_to_mfp_distance,p0_failure_rate,failure_subtype,tested_prefixes
qwen2.5:7b::tool_compiler::calendar_hard_03::50012::wrong_id,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,wrong_id,2,nontrivial_delta_mfp,2,2,0,0.000,policy_or_state_violation,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 13, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::calendar_hard_03::50013::stale_memory,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,stale_memory,2,nontrivial_delta_mfp,2,2,0,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.5}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 13, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::calendar_hard_03::50014::precondition_skip,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,precondition_skip,2,nontrivial_delta_mfp,2,2,0,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 13, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::calendar_hard_03::50015::date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,date_ambiguity,2,nontrivial_delta_mfp,2,2,0,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 13, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::calendar_hard_03::50016::wrong_id,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,wrong_id,2,nontrivial_delta_mfp,2,2,0,0.000,policy_or_state_violation,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 13, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::calendar_hard_03::50017::stale_memory,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,stale_memory,2,nontrivial_delta_mfp,2,2,0,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 13, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::calendar_hard_03::50018::precondition_skip,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,precondition_skip,2,nontrivial_delta_mfp,2,2,0,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 13, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::calendar_hard_03::50019::date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,date_ambiguity,2,nontrivial_delta_mfp,2,2,0,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 13, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::calendar_hard_03::50020::wrong_id,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,wrong_id,2,nontrivial_delta_mfp,2,2,0,0.000,policy_or_state_violation,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 13, ""failure_rate"": 1.0}]"
qwen2.5:7b::tool_compiler::calendar_hard_03::50021::stale_memory,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,hard,stale_memory,2,nontrivial_delta_mfp,2,2,0,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 1, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}, {""prefix_index"": 13, ""failure_rate"": 1.0}]"
